model,train_time_s,predict_time_s,accuracy_test,precision_macro_test,recall_macro_test,f1_macro_test
LogisticRegression,0.07032895088195801,0.006279706954956055,0.9883040935672515,0.9875146028037383,0.9875146028037383,0.9875146028037383
RandomForest,0.4481229782104492,0.019744396209716797,0.9415204678362573,0.9402189997040544,0.9344334112149533,0.9371693121693121
GradientBoosting,1.2011785507202148,0.004538297653198242,0.9532163742690059,0.9563063063063063,0.9437792056074766,0.9493933116306599
